"","Date.Added","Song","Artist","Day.1","Day.2","Day.3","Day.4","Day.5","Day.6","Day.7","Day.8","Day.9","Day.10","Day.11","Day.12","Day.13","Day.14","Day.15","Day.16","Day.17","Day.18","Day.19","Day.20","Day.21","Day.22","Day.23","Day.24","Day.25","Day.26","Day.27","Day.28","Day.29","Day.30","Day.31"
"46","06/17/2020","Then Leave","Beatking",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27600,37000,74500,256100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"48","06/19/2020","I See Red","Everybody Loves an Outlaw",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","06/24/2020","Hood Baby","KBFR",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","06/24/2020","Body","Jordan Suaste",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","06/27/2020","2z Don Corleon","Lil 2z",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","07/06/2020","Medulla","9baby Eli",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","08/02/2020","Splenda","Naliya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","08/19/2020","Malibu","Lucus",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","08/21/2020","We All Tryna F***","Ysl Jalen",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","09/09/2020","Lets Link","WhoHeem",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","09/25/2020","I'm Okay Now","badly",-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","09/30/2020","Pull Up","LMB DG",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","10/04/2020","Debacle","Epwoppomusic",-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","10/08/2020","Die Very Rough","Mario Judah",6900,11000,19300,27500,40300,46900,49400,51700,-1,-1,58800,61500,67700,67000,-1,-1,-1,77500,84000,86100,88100,-1,-1,-1,-1,-1,-1,97200,96500,-1,-1
"65","10/11/2020","Fuck Up the Friendship","Leah Kate",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"66","10/13/2020","BookBag 2.0","BigKayBeezy",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"67","10/29/2020","Violent","carolesdaughter",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"68","10/30/2020","Love You From a Distance","Ashley Kutcher",7700,10500,12300,14500,16300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"69","11/02/2020","Rat","Penelope Scott",26900,29900,33100,38300,45300,54600,65200,75900,88500,101900,116400,134900,148600,162800,177500,192300,206300,220600,232200,241900,265600,276500,287000,298300,309200,317300,326900,335600,346600,360500,371800
"70","11/04/2020","Adderall (Corvette Corvette)","Popp Hunna",-1,-1,-1,-1,-1,-1,12500,17000,23000,31300,36900,41900,50300,62100,72400,83300,91500,96300,103100,109000,115000,121000,127400,132700,137700,142400,147000,154300,163700,177000,187300
"72","11/10/2020","Crazy","J Nanks",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA
"73","11/14/2020","Where U At?","MoneyatMidnight",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","11/14/2020","Walk With Me","GoldFord",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","11/18/2020","Out the Frame","Marv Allen",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","11/30/2020","She Gone Enter","lil.eaarl",-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","12/01/2020","Sandlot","ssgkobe",-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","12/01/2020","Jugg","KillBunk",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","12/02/2020","Pretend","Kill Jasper",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","12/02/2020","Mrs Magic","Strawberry Guy",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","12/03/2020","If I Could Do It All Again","Loser",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
