Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
06/19/2020,Stunnin',Curtis Waters,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/19/2020,I See Red,Everybody Loves an Outlaw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
06/24/2020,Hood Baby,KBFR,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/24/2020,Body,Jordan Suaste,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/27/2020,2z Don Corleon,Lil 2z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/06/2020,Medulla,9baby Eli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/14/2020,Backyard Boy,Claire Rosinkranz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2020,Splenda,Naliya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/19/2020,Malibu,Lucus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2020,We All Tryna F***,Ysl Jalen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/09/2020,Lets Link,WhoHeem,1,1,1,5,6,6,6,6,6,6,5,6,6,11,11,11,12,14,14,26,26,31,38,38,39,45,0,0,0,0,
09/22/2020,Convenient,Griffin Johnson,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
09/25/2020,I'm Okay Now,badly,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
09/26/2020,Capitalize Off Pain,Big $tunt,0,0,0,0,0,0,0,0,0,1,2,1,2,,,,,,,,,,,,,,,,,,
