Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
03/15/2020,FRIENDS,Laundry Day,151400,189500,0,270900,315700,3700000,3800000,3900000,4000000,4100000,4200000,4300000,4400000,4400000,4600000,4700000,4700000,4700000,4800000,4800000,4800000,5000000,5100000,,,,,,,,
03/16/2020,Take It,PXTN,23000,0,35300,40900,0,205300,206100,210500,216600,218300,222500,225300,228400,229100,233700,237100,237700,238400,239100,239700,240400,245800,247000,,,,,,,,
03/17/2020,Tank,Kai Ca$h,0,708300,712100,0,1100000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,0,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,,,,,,,,
03/18/2020,The Drip,Kiiingsam,146500,161100,0,2400000,2500000,2700000,2800000,2900000,3000000,3000000,3100000,3200000,3300000,3300000,3300000,3300000,3400000,3400000,3500000,3600000,,,,,,,,,,,
03/26/2020,Rockstar Shit,Blind.See,51200,60900,0,0,90800,8700000,8800000,9300000,10000000,10300000,10800000,11200000,11600000,11700000,12200000,12700000,12800000,12900000,13000000,13000000,13100000,13900000,14000000,,,,,,,,
04/01/2020,Outta There,Moe,870100,936800,0,5900000,6200000,6200000,6200000,6500000,6900000,7000000,7400000,7600000,7900000,8000000,8400000,8700000,8700000,8800000,8800000,8900000,9000000,9400000,9500000,,,,,,,,
04/22/2020,JoJo Pose,Apollo Fresh,0,0,0,7300000,7300000,7300000,7400000,7700000,8200000,8300000,8700000,8900000,9300000,9300000,9800000,10200000,10300000,10400000,10500000,10600000,10700000,11600000,11900000,,,,,,,,
05/18/2020,Wipe It Down,BMW Kenny,0,1300000,1600000,1600000,1600000,1600000,1700000,2100000,2800000,3000000,3400000,3600000,3900000,4000000,4300000,4600000,4600000,4600000,4700000,4700000,4800000,5200000,,,,,,,,,
06/13/2020,Hatchback,Cochise,2200000,2500000,3300000,3800000,4700000,5000000,6800000,8500000,8900000,9300000,9700000,10100000,10500000,14100000,14900000,,,,,,,,,,,,,,,,
06/17/2020,Then Leave,Beatking,383300,567400,1800000,2800000,3100000,4800000,6100000,6400000,6700000,7000000,7300000,7600000,10300000,11100000,16880000,17150000,17930000,18180000,19910000,20620000,21560000,21770000,24120000,24710000,25130000,25350000,25560000,25760000,25950000,,
06/19/2020,Stunnin',Curtis Waters,13200000,16900000,17900000,24700000,30500000,31700000,32900000,34200000,35500000,36800000,47800000,50100000,,,,,,,,,,,,,,,,,,,
06/19/2020,I See Red,Everybody Loves an Outlaw,7500000,9800000,10400000,12200000,14600000,15100000,15600000,16100000,16600000,17000000,20900000,22200000,23400000,23800000,24200000,24600000,26800000,30330000,30720000,31860000,32260000,34990000,36120000,37590000,37960000,41870000,42840000,43490000,43820000,44130000,44420000
06/24/2020,Hood Baby,KBFR,1600000,2600000,2900000,4500000,6000000,6300000,6600000,6900000,7200000,7500000,9800000,10300000,11300000,11600000,11800000,12000000,13400000,15380000,15610000,16320000,16540000,18150000,24910000,25060000,25210000,25370000,25520000,25650000,25780000,25920000,26050000
06/24/2020,Body,Jordan Suaste,4500000,4900000,5000000,5600000,6000000,6100000,6200000,6300000,6400000,6500000,7300000,7600000,7800000,7900000,8000000,8100000,8600000,9430000,9530000,9820000,9920000,10580000,14310000,14420000,14530000,14630000,14730000,14830000,14940000,15050000,15150000
06/27/2020,2z Don Corleon,Lil 2z,1400000,1600000,1600000,1900000,1950000,2100000,2200000,2200000,2200000,2300000,2300000,2700000,2800000,3000000,3000000,3100000,3100000,3400000,3780000,3830000,3950000,3990000,5750000,5790000,5840000,5880000,5930000,5980000,6020000,6070000,6110000
07/06/2020,Medulla,9baby Eli,10000,21400,28900,35900,60000,65600,71500,77400,82800,89100,138600,154900,189500,197200,205200,212800,267300,353600,363000,389200,397600,449500,644600,648800,653100,657400,661500,665300,669600,674200,678700
07/14/2020,Backyard Boy,Claire Rosinkranz,407800,450700,501000,553000,604600,659200,712300,772500,836700,909400,989500,1090000,1220000,1360000,1500000,1680000,1870000,1900000,2280000,2500000,2700000,3000000,,,,,,,,,
08/02/2020,Splenda,Naliya,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
08/19/2020,Malibu,Lucus,0,403400,448500,0,494000,586200,637400,685500,966100,1110000,1280000,1320000,1730000,1790000,1810000,1840000,1860000,1880000,1910000,1950000,1970000,2030000,2050000,2070000,2090000,2110000,2130000,2140000,2170000,2200000,2230000
08/21/2020,We All Tryna F***,Ysl Jalen,50900,0,55200,63500,67900,72800,102000,122300,148100,153800,233400,243700,249100,254300,259200,264200,269200,279000,284000,297700,302000,306700,311000,315500,319900,323800,328000,332000,336300,340400,
09/09/2020,Lets Link,WhoHeem,22980000,24770000,25660000,26540000,27340000,28170000,29000000,30660000,31490000,33750000,34480000,35200000,35910000,36650000,37360000,37990000,38620000,39240000,39870000,40490000,,,,,,,,,,,
09/22/2020,Convenient,Griffin Johnson,8500,32100,44600,44800,44800,44800,,,,,,,,,,,,,,,,,,,,,,,,,
09/25/2020,I'm Okay Now,badly,456500,534400,610500,662200,724100,805900,0,937200,1030000,1080000,,,,,,,,,,,,,,,,,,,,,
09/26/2020,Capitalize Off Pain,Big $tunt,796200,918700,1030000,1150000,1280000,0,1550000,1690000,1830000,1960000,2100000,2230000,2370000,2520000,,,,,,,,,,,,,,,,,
09/30/2020,Pull Up,LMB DG,1450000,0,1720000,1850000,1980000,2110000,2250000,2390000,2540000,2680000,,,,,,,,,,,,,,,,,,,,,
10/02/2020,Whoopty,CJ,1420000,1630000,1860000,2120000,2430000,2790000,3210000,3650000,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,Debacle,Epwoppomusic,17200,19800,23200,27000,30900,34700,66900,,,,,,,,,,,,,,,,,,,,,,,,
10/08/2020,Die Very Rough,Mario Judah,82500,199800,430700,741200,1130000,1570000,1950000,2290000,2620000,2960000,3300000,3620000,3930000,4260000,4600000,4930000,5270000,5600000,5910000,6230000,6570000,6940000,7290000,7650000,8010000,8330000,8710000,9110000,9480000,9860000,10260000
10/11/2020,Fuck Up the Friendship,Leah Kate,523400,533600,545200,556200,567300,577600,586900,600800,618200,639400,660500,684600,708100,730500,750900,774100,806600,0,890500,932500,976300,1020000,1060000,1110000,1160000,1210000,1260000,1320000,1390000,1460000,1550000
10/13/2020,BookBag 2.0,BigKayBeezy,2300000,2600000,2670000,2740000,2810000,2880000,2950000,3020000,3180000,3350000,3510000,3660000,3660000,3900000,4020000,4160000,4290000,4400000,4500000,4590000,4660000,4740000,4820000,4900000,4980000,5050000,5140000,5220000,5300000,5370000,
10/29/2020,Violent,carolesdaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/30/2020,Love You From a Distance,Ashley Kutcher,1300,125600,208200,272700,350300,416600,473900,525600,583300,634000,683900,742100,799000,850600,902000,952100,992000,1030000,1070000,1120000,1160000,1210000,1250000,1290000,1330000,1380000,1420000,1470000,1520000,1590000,1630000
11/2/2020,Rät,Penelope Scott,630000,678400,741000,823500,941000,1100000,1280000,1480000,1710000,1950000,2210000,2500000,2810000,3110000,3430000,3780000,4120000,4460000,4800000,5130000,5440000,5750000,6090000,6420000,6750000,7060000,7680000,7990000,8330000,,
11/4/2020,Adderall (Corvette Corvette),Popp Hunna,907100,1110000,1340000,1610000,1900000,2180000,2520000,2910000,3340000,3790000,4270000,4750000,5220000,5740000,6280000,6850000,7430000,8030000,8640000,9210000,9780000,10380000,10990000,11580000,12770000,13310000,13840000,14360000,14850000,15340000,
11/09/2020,L3ft 2ight,ShowtimeKwan,27900,31000,34000,36800,39600,42600,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2020,Crazy,J Nanks,70200,90400,109300,126700,144500,159200,172700,186700,200100,212400,225500,240500,255500,268200,286900,303300,318000,330500,352700,362600,373000,382500,391100,399300,407200,414600,,,,,
11/14/2020,Where U At?,MoneyatMidnight,155300,164600,169400,173500,177700,181800,186000,190000,194000,197700,201900,205700,209800,213300,220200,223300,226400,229500,232500,235700,,,,,,,,,,,
11/14/2020,Walk With Me,GoldFord,298700,309700,318400,327900,336000,343600,350800,357600,363900,369200,376600,383600,389900,395100,404000,408000,414700,421300,426800,431500,,,,,,,,,,,
11/18/2020,Viernes 13,Marcos Menchaca,67450000,67590000,67720000,67860000,67980000,68090000,68210000,68330000,68450000,68570000,68800000,68900000,69010000,69120000,69240000,69360000,,,,,,,,,,,,,,,
11/18/2020,Out the Frame,Marv Allen,72600,84800,98300,112700,128200,143800,159400,175700,191400,206100,235700,249700,264900,280800,295100,309500,323900,337700,,,,,,,,,,,,,
11/22/2020,Hailey,WRENN,0,0,0,0,0,20900,104700,167400,239100,294500,340700,385700,,,,,,,,,,,,,,,,,,,
11/30/2020,She Gone Enter,lil.eaarl,19000,22100,25700,30100,34400,39000,47900,53700,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Feelings,ssgkobe,589600,592800,595700,598600,601700,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Sandlot,ssgkobe,490700,494100,497700,501300,505000,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Chanel Bag,KillBunk,2440000,2560000,2680000,2790000,2910000,3040000,3180000,3310000,3420000,3530000,3650000,,,,,,,,,,,,,,,,,,,,
12/01/2020,Jugg,KillBunk,74100,85400,97700,112500,126700,149600,176100,203700,227800,252900,282000,,,,,,,,,,,,,,,,,,,,
12/02/2020,Crucial,Alshawn Martin,123800,124700,125400,126200,127000,127600,128200,129000,129600,130300,,,,,,,,,,,,,,,,,,,,,
12/02/2020,Pretend,Kill Jasper,2000,9800,15100,20500,26200,32500,38500,46700,54600,62100,,,,,,,,,,,,,,,,,,,,,
