Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
01/19/2021,Crazy,gavn!,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
01/19/2021,Rolando (Caught In The Rain),DUSTY LOCANE,17100,18700,20500,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
01/19/2021,R60LLXN N CONTROLLXN,DUSTY LOCANE,29600,33600,38000,46400,46000,49200,53000,57000,61200,65500,74900,75600,89000,90400,98500,106400,113000,118500,125700,129000,133700,138600,143900,149200,x,x,x,x,x,x,x
01/19/2021,Bumpin',MC Virgins,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
01/19/2021,Poseidon,gavn!,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
01/19/2021,Ecstasy,gavn!,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
01/19/2021,Come Thru,gavn!,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
01/19/2021,December,gavn!,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
01/19/2021,Poppin',Fakebitcheshero,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,
01/20/2021,Blue,Nyah Grace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
01/21/2021,Go Bestfriend,$hyfromdatre,x,x,x,x,x,x,x,x,x,x,5900,9300,13200,17600,27700,27000,37100,38600,37800,40800,46000,46000,x,x,x,52200,57700,57700,63900,64100,70900
01/25/2021,Walk Down,FNF Chop,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
01/25/2021,Track Star,Mooski,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
01/27/2021,Do a Bitch,Kali,x,x,x,x,x,x,x,x,x,x,x,x,14600,16200,18400,22800,24800,24500,26200,30200,30300,34500,34400,36800,x,42000,43700,45600,56900,68400,x
01/28/2021,Knock Knock,SoFaygo,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
01/29/2021,Honest,Rocco,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/01/2021,World of Trouble,Kossisko,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/01/2021,Villain,Wolf,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/02/2021,What Do Rio Mean / Definition Of Rio,Rio Da Yung OG,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/05/2021,Belly of the Beast,Brennan Savage,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/09/2021,Just Water,Bryansanon,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/09/2021,Not Angry,Chris James,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/12/2021,Jealous,Eyedress,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/25/2021,Sweetladychallenge,Lew Mr. Blue,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/25/2021,Track Meet,DevTakeFlight,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/25/2021,Sometimes (Backwood),gigi,x,x,x,x,x,x,x,x,x,x,x,x,9000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/26/2021,Bala Peligrosa,DJ Swagrman,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/26/2021,Yale,Ken Car$on,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/26/2021,Missed Calls,Chris Miles,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/26/2021,American Friends,DYSN,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/26/2021,Michigan,Chavo,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/26/2021,Comedy!,Autumn!,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/26/2021,Rosetta,Karri,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/26/2021,Never Could,Mr.Chicken,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
02/26/2021,carleen,LOAT!,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/01/2021,Outside,Yvette,28600,x,31900,33700,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/01/2021,BIG BANK,jusLo,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/03/2021,Flow Switch,Heavy Honcho,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/05/2021,Heart Attack,Scarlxrd,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/05/2021,6 Feet,Scarlxrd,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/05/2021,Red Light,Scarlxrd,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/10/2021,You Got It,JNA,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/10/2021,G-Code,Kamrin Houser,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/12/2021,DUMB,Kblast,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/15/2021,Be Forreal,Tevin Terrell,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/18/2021,CAP,T3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
03/23/2021,YKWIM,Yot Club,26400,32000,37200,41300,44100,47000,50700,54200,58900,60700,63400,66500,68100,x,x,x,70900,71700,72400,73200,73600,74000,74000,75500,75500,76700,76700,77800,77800,78800,78800
03/25/2021,Sneaky Link,Hxllywood,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5700,8000
04/02/2021,MY STORY,Mike Dimes,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
